record_id,Name,Slug,Description,Full hierarchy,Icon,Image,parent_id_for_import,listing_type_corrected
15979,Seismic & Wind Design,seismic-wind-design,,Structural Engineering & Services > Structural Design & Analysis > Seismic & Wind Design,,,15977,Businesses & Services
15980,Structural Assessments & Inspections,structural-assessments-inspections,,Structural Engineering & Services > Structural Design & Analysis > Structural Assessments & Inspections,,,15977,Businesses & Services
15981,Structural Fabrication,structural-fabrication,,Structural Engineering & Services > Structural Fabrication,,,15976,Businesses & Services
15982,Precast Concrete Structures,precast-concrete-structures,,Structural Engineering & Services > Structural Fabrication > Precast Concrete Structures,,,15981,Businesses & Services
5580,Steel Fabrication & Erection,steel-fabrication-erection,,Structural Engineering & Services > Structural Fabrication > Steel Fabrication & Erection,,https://visita.co.za/wp-content/uploads/2024/07/Steel-fabricator.jpg?wpId=181409,15981,Businesses & Services
15983,Timber Frame Construction,timber-frame-construction,,Structural Engineering & Services > Structural Fabrication > Timber Frame Construction,,,15981,Businesses & Services
18159,Student housing center,student-housing-center,,Student housing center,,,0,Businesses & Services
6901,Study At Home School,study-at-home-school,,Study At Home School,,,0,Businesses & Services
1000,Sunglasses Store,sunglasses-store,,Sunglasses Store,,https://visita.co.za/wp-content/uploads/2023/05/obubejjn0wm.jpg?wpId=52994,0,Businesses & Services
119,Supermarket,supermarket,,Supermarket,,https://visita.co.za/wp-content/uploads/2023/05/sq5p00l7lxc.jpg?wpId=52944,0,Businesses & Services
13964,Support Services,support-services,,Support Services,,,0,Businesses & Services
13126,Medical Laboratories & Imaging,medical-laboratories-imaging,,Support Services > Medical Laboratories & Imaging,,,13964,Community Spaces
7228,Medical Diagnostic Imaging Center,medical-diagnostic-imaging-center,,Support Services > Medical Laboratories & Imaging > Medical Diagnostic Imaging Center,,,13126,Community Spaces
6037,Medical Laboratory,medical-laboratory,,Support Services > Medical Laboratories & Imaging > Medical Laboratory,,https://visita.co.za/wp-content/uploads/2024/07/Medical-laboratory.jpg?wpId=181291,13126,Community Spaces
1373,Radiologist,radiologist,,Support Services > Medical Laboratories & Imaging > Radiologist,,,13126,Businesses & Services
13966,Radiology Center,radiology-center,,Support Services > Medical Laboratories & Imaging > Radiology Center,,,13126,Businesses & Services
712,Medical Spa,medical-spa,,Support Services > Medical Spa,,,13964,Businesses & Services
13124,Pharmacies & Medical Supplies,pharmacies-medical-supplies,,Support Services > Pharmacies & Medical Supplies,,,13964,Businesses & Services
5411,Medical Equipment Supplier,medical-equipment-supplier,,Support Services > Pharmacies & Medical Supplies > Medical Equipment Supplier,,,13124,Community Spaces
14831,Pharmacy,pharmacy-pharmacies-medical-supplies,,Support Services > Pharmacies & Medical Supplies > Pharmacy,,,13124,Businesses & Services
4678,Surf Shop,surf-shop,,Surf Shop,,,0,Businesses & Services
962,Surgeon,surgeon,,Surgeon,,https://visita.co.za/wp-content/uploads/2024/07/Surgeon.jpg?wpId=181411,0,Businesses & Services
975,Surgical Center,surgical-center,,Surgical Center,,,0,Businesses & Services
13076,Surveying Service,surveying-service,,Surveying Service,,,0,Businesses & Services
5833,Swimming Facility,swimming-facility,,Swimming Facility,,,0,Businesses & Services
5856,Swimming Instructor,swimming-instructor,,Swimming Instructor,,,0,Businesses & Services
18096,Swimming pool,swimming-pool-3,,Swimming pool,,,0,Businesses & Services
